WKT,nama,deskripsi
"POLYGON ((106.8231368 -6.1752033, 106.823051 -6.1798539, 106.8236732 -6.1803445, 106.8309688 -6.1801099, 106.8309474 -6.1795552, 106.8303895 -6.1789152, 106.8306041 -6.1785312, 106.829896 -6.1776139, 106.8298101 -6.1734966, 106.8294883 -6.1733686, 106.829102 -6.1729419, 106.8293595 -6.1718753, 106.8290376 -6.1714699, 106.8233084 -6.1716193, 106.8231368 -6.1752033))",monas,
"POLYGON ((106.798545 -6.2144691, 106.7983734 -6.2204845, 106.8027507 -6.2223617, 106.8048965 -6.2245801, 106.8089305 -6.2224043, 106.8081581 -6.2211671, 106.808201 -6.2160049, 106.8062698 -6.2154503, 106.8063556 -6.2142557, 106.8060123 -6.2128905, 106.798545 -6.2144691))",gelora bung karno,
"POLYGON ((106.81597 -6.308345, 106.8157983 -6.3100512, 106.8162704 -6.3106484, 106.8176437 -6.3103925, 106.8177295 -6.3148286, 106.8163991 -6.3151698, 106.8165279 -6.3161935, 106.8179441 -6.3162789, 106.8190599 -6.3167907, 106.8191886 -6.3174305, 106.8216348 -6.3174732, 106.8230081 -6.3173452, 106.8237806 -6.3173026, 106.8237806 -6.3178144, 106.8247676 -6.3178144, 106.8258405 -6.3112456, 106.8263555 -6.3115015, 106.8268705 -6.3088142, 106.8246389 -6.3085156, 106.8246389 -6.3065535, 106.8228365 -6.3063828, 106.8222356 -6.3068094, 106.8204332 -6.3064681, 106.8203474 -6.3057857, 106.8191457 -6.3057857, 106.8182874 -6.3055724, 106.8166996 -6.3051885, 106.8161846 -6.3052311, 106.8165708 -6.3067241, 106.8168283 -6.3076625, 106.81597 -6.308345))",ragunan,
"POLYGON ((106.8894341 -6.3026038, 106.8903354 -6.3026998, 106.8905499 -6.3023798, 106.8923202 -6.3023585, 106.892288 -6.30174, 106.8922022 -6.30174, 106.8904963 -6.3016547, 106.890389 -6.3014947, 106.8894341 -6.3015481, 106.8894341 -6.3026038))",taman mini indonesia,
"POLYGON ((106.8506516 -6.2337055, 106.8512095 -6.2348574, 106.8526686 -6.2358812, 106.8517245 -6.2396781, 106.8527116 -6.2418111, 106.8538703 -6.2418111, 106.853012 -6.2392088, 106.8535269 -6.2377583, 106.8533553 -6.2348574, 106.8528403 -6.2349, 106.8525828 -6.2339188, 106.8522824 -6.2332789, 106.8506516 -6.2337055))",tebet echo park,
